date;trend;replies;likes;caption
2/23/21, 10:27 AM;;0;0;$HNNMY NEW ARTICLE : H&M, IKEA and Stora Enso backed TreeToTextile builds sustainable fibre demo plant stck.pro/news/HNNMY
2/22/21, 01:06 AM;;0;1;$HNNMY will this summer be booming enough for the clothing stores, or will $AMZN keep it going??? Looking for ways to spend my upcoming profit from $GDET ðŸ¤™ðŸ»ðŸ’°ðŸ¤™ðŸ»ðŸ’°
2/17/21, 06:27 PM;;0;0;$HNNMY NEW ARTICLE : Uniqlo Intends To Become The World's Top Fashion Retailer By Distancing From H&M And Zara stck.pro/news/HNNMY
2/4/21, 05:01 PM;;0;0;$HNNMY NEW ARTICLE : H&M partners with Lee for sustainable denim stck.pro/news/HNNMY
2/3/21, 10:16 PM;;0;0;H & M Hennes & Mauritz AB (publ)'s underweight rating reiterated at Morgan Stanley. marketbeat.com/stocks/OTCMK... $HNNMY
1/29/21, 07:13 PM;Bullish;0;0;$HNNMY great quality cheap prices products... online sales will pick up! this is gna grow
1/29/21, 01:31 PM;;0;0;$HNNMY NEW ARTICLE : Survival Of The Fittest And Fastest - Profits Fall By 88% At H&M stck.pro/news/HNNMY
1/28/21, 09:09 PM;Bullish;0;0;"$HNNMY Stock tip... 
                  FTFT: China/Fintech/cryptocurrency play. $4 a share
                                      DISRUPTIVE TECHNOLOGY                                 
-1/11/21 FTFT announces unique mBTC technology to track lost/stolen Bitcoins. Expect deals w/PayPal type apps/e-commerce planning to add Bitcoin. Will give customers added security. 
-Launching payment app out of Asia w/their Bitcoin security
-10 approved blockchain security patents in China. Any e-commerce business accepting cryptocurrency will have to do a deal w/FTFT =24 trillion market per ARK Financial
-Fintech offices in tax free HK, Singapore, Dominican Republic to protect tax free Bitcoins off-shore, Bitcoin Atms
-Up 250% on blockchain security patents 2 weeks ago and pulled back on public offering at $5 and Bitcoin drop - oversold. Fidelity bought 1/20/21
prnewswire.com/news-release..."
1/27/21, 10:20 PM;;0;0;H & M Hennes & Mauritz AB (publ)'s underperform rating reiterated at Credit Suisse Group AG. marketbeat.com/stocks/OTCMK... $HNNMY
1/27/21, 08:50 PM;Bullish;0;0;$HNNMY 7!!!!!!!!!!!!!!!!!!!!!!!!
1/27/21, 08:49 PM;Bullish;0;0;$HNNMY CHEAP STOCK AND ITS GOING ONLINE ONLINE SALES WILL GO THRU THE ROOF
1/27/21, 11:17 AM;;0;0;$HNNMY NEW ARTICLE : H&M is one of fashion's biggest polluters. Now its foundation is on a $100 million quest to save the planet stck.pro/news/HNNMY
1/26/21, 04:30 PM;Bullish;0;0;$HNNMY i lov to shop here clothing is nice and also cheap... there stock also seems cheap! holding long in case their online business picks up
1/13/21, 02:43 PM;;0;0;$HNNMY - What is better HENNES MAURITZâ€¦ macroaxis.com/competition/H... #portfolio_prospective #better_portfolio #diversify
1/1/21, 09:24 AM;;0;0;$HNNMY - Strong price overlap is detected against MESA Adaptive Moving Average indicator macroaxis.com/invest/Overla...
12/9/20, 06:27 PM;;0;0;$HNNMY NEW ARTICLE : Swedish equality ombudsman launches discrimination probe into H&M after media report stck.pro/news/HNNMY
11/2/20, 03:36 AM;;0;0;$HNNMY - Should I keep both HENNESâ€¦ macroaxis.com/invest/pair-c... #portfolio_prospective #better_portfolio #diversify
10/29/20, 04:03 PM;;0;0;$HNNMY NEW ARTICLE : H&M Integrates Conversational Commerce With Virtual And Live Chat Applications stck.pro/news/HNNMY
10/16/20, 01:17 AM;;0;0;$HNNMY NEW ARTICLE : China's turbo-charged online fashion takes on Zara and H&M stck.pro/news/HNNMY
10/13/20, 06:23 PM;;0;0;$HNNMY NEW ARTICLE : H&M And IKEA Want Your Old Stuff Back, Hereâ€™s Why stck.pro/news/HNNMY
10/8/20, 01:13 PM;;0;1;$HNNMY NEW ARTICLE : H&M will turn your ratty old T-shirt into a brand new sweater stck.pro/news/HNNMY
10/5/20, 04:13 PM;;0;0;$HNNMY NEW ARTICLE : H&M fined $41M for tracking workersâ€™ personal lives using company database stck.pro/news/HNNMY
10/1/20, 08:21 PM;;0;0;$HNNMY NEW ARTICLE : H&M Plans to Close 5% of Stores Next Year in Online Shift stck.pro/news/HNNMY
10/1/20, 07:27 PM;;0;0;$HNNMY NEW ARTICLE : Even H&M is closing stores as the list of fast-fashion retailers stung by COVID grows stck.pro/news/HNNMY
10/1/20, 04:15 PM;;0;0;$HNNMY NEW ARTICLE : H&M is closing 250 stores stck.pro/news/HNNMY
10/1/20, 03:13 PM;;0;0;$HNNMY NEW ARTICLE : H&M to get rid of 250 stores as it leans towards online shopping stck.pro/news/HNNMY
10/1/20, 01:58 PM;;0;0;$HNNMY H&M posts nice 3rd quarter gains and says the worst is behind them marketblips.com/symbol/hnnm...
10/1/20, 11:55 AM;;0;0;$HNNMY NEW ARTICLE : H&M tops estimates for earnings in the fiscal third quarter stck.pro/news/HNNMY/8141108
10/1/20, 10:30 AM;;0;0;Low-cost fashion chain H&M sees sales 16% drop due to virus $HNNMY #HNNMY marketbeat.com/articles/low...
10/1/20, 10:14 AM;;0;0;$HNNMY NEW ARTICLE : Hennes & Mauritz reports Q3 results stck.pro/news/HNNMY
10/1/20, 09:33 AM;;0;0;$HNNMY NEW ARTICLE : H&M profit tops forecast as recovery gathers strength stck.pro/news/HNNMY
9/30/20, 06:08 AM;;0;0;ARKET trademark filing by H & M Hennes & Mauritz AB uspto.report/TM/90210657 #ARKET $HNNMY
9/17/20, 09:53 PM;;0;0;$HNNMY NEW ARTICLE : H&M USA Launches Limited-Edition Artist Collection In Celebration Of National Voter Registration Day stck.pro/news/HNNMY
9/16/20, 11:02 PM;;0;0;HENNES & MAURIT/ADR's buy rating reiterated at Citigroup Inc. marketbeat.com/stocks/OTCMK... $HNNMY
9/16/20, 08:13 PM;;0;0;HENNES & MAURIT/ADR's sector perform rating reiterated at Royal Bank of Canada. marketbeat.com/stocks/OTCMK... $HNNMY
9/16/20, 01:33 PM;;0;0;HENNES & MAURIT/ADR upgraded by Nordea Equity Research to buy. marketbeat.com/stocks/OTCMK... $HNNMY
9/15/20, 04:50 PM;;0;0;H&M Shares Rise 12% After Beating #Earnings Forecasts $HNNMY talkmarkets.com/content/sto...
9/15/20, 01:04 PM;;0;0;$HNNMY NEW ARTICLE : Hennes & Mauritz +12% after strong recovery in FQ3 stck.pro/news/HNNMY
9/15/20, 08:43 AM;;0;0;$HNNMY NEW ARTICLE : H&M reports preliminary June-August profit of around 2 billion SEK stck.pro/news/HNNMY
9/14/20, 01:33 PM;;0;0;HENNES & MAURIT/ADR downgraded by Morgan Stanley to underweight. marketbeat.com/stocks/OTCMK... $HNNMY
9/13/20, 11:57 PM;;0;0;$HNNMY - HENNES MAURITZ isâ€¦ macroaxis.com/invest/compet... #portfolio_prospective #better_portfolio #diversify
9/10/20, 03:32 PM;;0;0;$HNNMY NEW ARTICLE : H&M'S Fall Fashion 2020 Collection Showcases The Beauty Of Recycled Materials stck.pro/news/HNNMY
9/7/20, 10:21 PM;;0;0;$HNNMY NEW ARTICLE : Worldwide Apparel and Leather Products Industry to 2030 - Featuring Nike, Christian Dior and H&M Among Others stck.pro/news/HNNMY
9/3/20, 03:15 PM;;0;0;$HNNMY NEW ARTICLE : H&M And Italian Brand Giuliva Heritage Collaborate On A Collection Of Timeless Pieces With Sustainability As A Focus stck.pro/news/HNNMY
8/6/20, 06:23 PM;;0;0;$HNNMY NEW ARTICLE : Fashion giant H&M suspends employees over use of racial slur stck.pro/news/HNNMY
7/11/20, 06:11 AM;;0;0;HENNES & MAURIT/ADR upgraded by ValuEngine to buy. marketbeat.com/stocks/OTCMK... $HNNMY
7/1/20, 08:38 PM;;0;0;HENNES & MAURIT/ADR's underperform rating reiterated at Credit Suisse Group AG. marketbeat.com/stocks/OTCMK... $HNNMY
6/30/20, 08:44 PM;;0;0;HENNES & MAURIT/ADR's neutral rating reiterated at UBS Group AG. marketbeat.com/stocks/OTCMK... $HNNMY
6/29/20, 05:33 PM;;0;0;$HNNMY NEW ARTICLE : H&M's online second-hand shop Sellpy launches in Germany stck.pro/news/HNNMY
6/26/20, 04:11 PM;;0;0;$HNNMY NEW ARTICLE : H&M swings to a Â£561.94 million loss as COVID-19 shuts stores in the second quarter stck.pro/news.php?ticker=HNNMY
6/26/20, 01:24 PM;;0;0;$HNNMY NEW ARTICLE : H&M: What Is Clothing Retailer's Approach to Re-Opening Stores stck.pro/news.php?ticker=HNNMY
6/26/20, 12:42 PM;;0;0;$HNNMY NEW ARTICLE : H&M Hennes & Mauritz expects net stores to decline around 40 in FY2020 stck.pro/news.php?ticker=HNNMY
6/26/20, 12:40 PM;;0;0;"$HNNMY H&M Hennes & Mauritz expects net stores to decline around 40 in FY2020 

newsfilter.io/a/a7d24a04092..."
6/26/20, 11:54 AM;;0;0;"$HNNMY NEW ARTICLE : Hennes &amp; Mauritz reports Q2 results stck.pro/news.php?ticker=HNNMY"
6/26/20, 11:53 AM;;0;0;"$HNNMY Hennes & Mauritz reports Q2 results 

newsfilter.io/a/fcd3f170a60..."
6/24/20, 10:34 PM;;0;0;Peru giving up on virus measures in face of sinking economy $HNNMY #HNNMY marketbeat.com/articles/per...
6/15/20, 02:31 PM;;0;0;$HNNMY NEW ARTICLE : H&M records a 50% decline in quarterly sales due to Coronavirus restrictions stck.pro/news.php?ticker=HNNMY
6/15/20, 01:17 PM;;0;0;$HNNMY NEW ARTICLE : H&M -2% after sales update stck.pro/news.php?ticker=HNNMY
6/15/20, 01:16 PM;;0;0;"$HNNMY H&M -2% after sales update 

newsfilter.io/a/71010047334..."
6/15/20, 10:43 AM;;0;0;$HNNMY NEW ARTICLE : H&M says recovery uneven after March-May sales tumble 50% stck.pro/news.php?ticker=HNNMY
6/15/20, 09:11 AM;;0;0;$HNNMY NEW ARTICLE : H&M's March-May sales tumble by less than expected 50% stck.pro/news.php?ticker=HNNMY
6/2/20, 08:01 PM;;0;0;$HNNMY NEW ARTICLE : H&M temporarily shutters some stores over George Floyd protests dashboard.stck.pro/news.php...
5/27/20, 11:23 AM;;0;0;$HNNMY NEW ARTICLE : H&M sees furloughed HQ staff returning to work in July dashboard.stck.pro/news.php...
5/27/20, 10:19 AM;;0;0;$HNNMY NEW ARTICLE : H&M set to cancel furloughs for 2,500 at Stockholm headquarters dashboard.stck.pro/news.php...
5/12/20, 03:15 PM;;0;0;$HNNMY NEW ARTICLE : H&M and Footlocker are overhauling how you stand in line dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
5/12/20, 01:31 PM;;0;0;HENNES & MAURIT/ADR downgraded by AlphaValue to reduce. marketbeat.com/stocks/OTCMK... $HNNMY
5/12/20, 01:30 PM;;0;0;HENNES & MAURIT/ADR upgraded by Morgan Stanley to equal weight. marketbeat.com/stocks/OTCMK... $HNNMY
5/11/20, 02:37 AM;;0;0;HENNES & MAURIT/ADR downgraded by Goldman Sachs Group Inc to sell. marketbeat.com/stocks/OTCMK... $HNNMY
5/7/20, 12:43 PM;;0;0;$HNNMY NEW ARTICLE : H&M's sales tumble, stockpiles grow in March to May dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
5/7/20, 11:03 AM;;0;0;$HNNMY NEW ARTICLE : H&M sales fall 57% year-on-year in March through early May dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
5/3/20, 03:05 PM;;0;0;$HNNMY NEW ARTICLE : Cheap t-shirts and jeans are harming the planet. H&M and Levi's want to change that dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/28/20, 07:53 PM;;0;0;"$HNNMY H&M to close stores in Italy 

newsfilter.io/a/b5b76fecf34..."
4/28/20, 06:29 PM;;0;0;$HNNMY NEW ARTICLE : H&M set to permanently close eight shops in Italy dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/25/20, 09:41 PM;Bullish;1;1;$VET.X $HNNMY
4/17/20, 03:52 AM;;0;0;Bangladesh garment workers seek unpaid wages as orders stop $HNNMY #HNNMY marketbeat.com/articles/ban...
4/15/20, 05:45 PM;;0;0;$HNNMY NEW ARTICLE : Retailer H&M now producing protective aprons at supplier dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/15/20, 03:57 PM;;0;0;$HNNMY NEW ARTICLE : H&M starts protective apron production at supplier dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/8/20, 02:03 PM;;0;0;"$HNNMY H & M adds new â‚¬980M credit line 

newsfilter.io/a/4e4699a9d9e..."
4/8/20, 01:45 PM;;0;0;$HNNMY NEW ARTICLE : H&M borrows 980 million euros to boost liquidity buffer amid pandemic dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 07:37 PM;;0;0;$HNNMY NEW ARTICLE : Clothing Giant H&M Is Making WHO-Approved Safety Masks dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 01:08 PM;;0;0;"$HNNMY Hennes & Mauritz reports Q1 results 

newsfilter.io/a/1d4ebc350cd..."
4/3/20, 01:07 PM;;0;0;$HNNMY NEW ARTICLE : Hennes & Mauritz reports Q1 results dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 12:33 PM;;0;0;$HNNMY NEW ARTICLE : H&M sees second-quarter loss, plans cost cuts as pandemic slams sales in March dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 11:57 AM;;0;0;$HNNMY NEW ARTICLE : H&M Has Paused Purchasing Amid Virus Lockdown dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 10:13 AM;;0;0;$HNNMY NEW ARTICLE : H&M sees second-quarter loss as pandemic slams sales in March dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 08:49 AM;;0;0;$HNNMY NEW ARTICLE : Sweden's H&M sees second-quarter loss as pandemic slams March sales dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 08:37 AM;;0;0;$HNNMY NEW ARTICLE : H&M's March sales tumble 46% as pandemic hits, sees Q2 loss dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 05:31 AM;;0;0;"$HNNMY Earnings Call Tomorrow: 3:00 AM EST 
Analyst Rating: Buy 
Webcast: emea.directeventreg.com/reg..."
4/2/20, 12:49 PM;;0;0;$HNNMY NEW ARTICLE : H&M in talks with tens of thousands of staff to cut working hours due to pandemic dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/1/20, 04:57 PM;;0;0;$HNNMY NEW ARTICLE : H&M Will Honor Order Commitments Made to Suppliers Prior to Coronavirus Pandemic dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/30/20, 01:17 PM;;0;0;"$HNNMY NEW ARTICLE : Fast Fashion Leaders H&M And Zara; Weathering The Pandemic dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php..."
3/27/20, 07:15 PM;;0;0;Garment workers going unpaid as fashion labels cancel orders $HNNMY #HNNMY marketbeat.com/articles/gar...
3/27/20, 05:05 PM;;0;0;$HNNMY NEW ARTICLE : H&M starts protective face mask production at Chinese supplier dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/23/20, 03:07 PM;;0;0;$HNNMY NEW ARTICLE : Fashion retailer H&M weighs tens of thousands of job cuts because of coronavirus dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/23/20, 02:26 PM;;0;0;$HNNMY NEW ARTICLE : H&M -4% after scrapping dividend dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/23/20, 01:45 PM;;0;0;$HNNMY NEW ARTICLE : H&M scraps dividend due to coronavirus as all costs under review dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/19/20, 08:09 PM;;0;0;$HNNMY NEW ARTICLE : H&M issues notice of temporary lay-offs to 2,000 staff in Norway: DN dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/17/20, 07:17 PM;;0;0;$HNNMY NEW ARTICLE : H&M closes all stores in biggest markets Germany and the United States dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/6/20, 03:03 PM;;0;0;HENNES & MAURIT/ADR announces Annual dividend of $0.068.  Payable on 5/29/2020. 1.92% Yield.  marketbeat.com/stocks/OTCMK... $HNNMY
3/4/20, 06:01 PM;;0;0;$HNNMY NEW ARTICLE : H&M joins the â€˜open innovationâ€™ craze with a plan to share its production chain with rivals dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
2/27/20, 12:57 PM;;0;0;$HNNMY NEW ARTICLE : Hennes & Mauritz gets double-upgrade at JPMorgan Cazenove dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
2/14/20, 08:25 PM;;0;0;$HNNMY NEW ARTICLE : H&M becomes the latest fashion company to join the celebrity black designer trend dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
