Brand,Date,Buzz,Impression,Quality,Value,Reputation,Satisfaction,Recommend,Awareness,Attention,Ad Awareness,WOM Exposure,Consideration,Purchase Intent,Current Customer ,Former Customer,BrandIndex
Airbnb,2019-07,4.2,7.5,7.3,10.2,8.4,8.3,8.5,57.8,14.8,8.6,11.6,16.3,7.2,7.0,6.0,8.4
Airbnb,2019-08,3.8,11.0,8.3,12.6,7.9,9.9,10.3,61.1,13.8,8.6,12.5,18.5,8.6,8.7,6.0,10.0
Airbnb,2019-09,4.6,10.3,7.2,12.2,8.4,11.0,10.0,61.6,15.5,10.6,12.6,17.9,8.6,9.0,7.2,9.8
Airbnb,2019-10,3.9,7.4,5.6,10.2,6.0,9.9,8.8,59.8,13.8,9.3,11.0,16.6,7.5,8.6,6.6,8.0
Airbnb,2019-11,2.1,9.3,7.4,11.6,7.2,11.3,9.7,63.6,17.8,11.1,13.0,18.5,8.3,9.5,6.7,9.4
Airbnb,2019-12,3.5,10.1,6.5,11.3,9.1,11.6,11.9,63.3,16.0,8.1,11.4,18.8,9.0,8.6,8.2,10.1
Airbnb,2020-01,2.4,9.4,5.3,9.0,6.6,10.9,9.3,62.5,14.1,9.1,11.4,18.8,8.2,8.9,7.0,8.4
Airbnb,2020-02,3.3,9.8,7.1,11.2,8.4,11.7,10.2,64.2,14.8,10.1,11.8,18.7,8.5,8.4,8.5,9.7
Airbnb,2020-03,2.1,7.8,7.2,10.2,6.6,10.4,8.8,62.2,13.5,7.6,11.3,17.3,7.7,8.4,8.0,8.5
Airbnb,2020-04,-0.0,7.0,7.4,10.5,7.9,11.1,8.2,64.4,12.5,7.1,8.6,18.1,9.0,8.3,7.7,8.7
Airbnb,2020-05,1.2,9.3,9.2,11.2,8.7,11.7,11.4,65.2,14.1,6.6,10.6,18.4,8.4,9.0,9.8,10.2
Airbnb,2020-06,2.2,12.2,10.9,12.1,10.3,11.8,13.3,62.6,11.5,6.2,10.9,19.0,9.9,7.4,9.2,11.8
Airbnb,2020-07,1.8,8.8,7.9,12.6,7.6,10.4,9.5,64.7,13.3,7.3,11.2,17.4,8.3,7.1,9.1,9.5
Airbnb,2020-08,3.2,11.0,8.1,10.1,9.8,9.9,9.3,64.9,13.0,6.5,10.1,17.3,7.5,7.1,8.7,9.7
Airbnb,2020-09,3.2,10.5,8.1,10.6,8.0,10.1,10.5,65.0,13.2,8.1,10.5,17.4,7.0,5.7,10.4,9.6
Airbnb,2020-10,4.8,12.8,10.4,13.2,9.2,12.5,13.8,65.3,14.6,9.3,12.2,20.7,10.5,8.8,10.1,12.0
Airbnb,2020-11,6.1,12.1,9.8,12.0,8.7,12.8,12.2,66.5,12.8,8.3,9.8,18.3,9.1,6.8,11.8,11.2
Airbnb,2020-12,4.6,10.8,8.1,10.7,9.5,11.3,10.4,67.0,15.6,9.3,11.0,18.9,8.5,6.2,11.8,10.1
Airbnb,2021-01,4.2,10.4,8.9,11.4,9.2,11.3,10.6,65.1,15.7,9.5,10.6,18.9,8.6,5.2,12.6,10.3
Airbnb,2021-02,5.3,11.8,11.0,12.5,11.3,13.5,12.8,66.9,16.4,10.6,12.8,21.3,9.6,7.0,13.1,12.1
Apple,2019-07,16.0,30.3,37.9,9.1,32.6,24.8,25.2,88.6,28.5,29.4,21.4,27.5,12.8,14.7,23.2,26.6
Apple,2019-08,15.6,29.8,39.1,7.8,31.2,24.4,23.2,90.6,30.9,29.4,20.8,29.0,14.1,14.5,25.9,25.9
Apple,2019-09,17.8,29.7,38.6,7.6,32.7,25.8,25.1,89.7,33.3,32.6,24.8,29.7,15.2,16.6,24.9,26.6
Apple,2019-10,18.1,28.6,38.6,5.4,30.1,23.1,23.3,90.0,31.9,32.2,22.5,27.2,13.6,14.3,23.7,24.9
Apple,2019-11,21.0,35.4,41.7,8.8,35.8,27.0,29.0,89.7,33.2,31.6,22.3,31.7,14.7,17.2,22.6,29.6
Apple,2019-12,19.6,31.9,41.6,7.9,34.9,26.0,25.0,91.8,31.1,31.5,21.9,27.6,13.7,15.2,26.2,27.9
Apple,2020-01,18.6,34.0,42.4,10.0,35.1,25.7,25.7,92.2,30.7,29.8,20.8,30.5,14.6,15.6,25.1,28.8
Apple,2020-02,17.9,33.1,42.5,7.6,33.9,27.8,26.8,91.0,31.1,28.2,21.2,28.6,13.4,15.1,26.5,28.6
Apple,2020-03,16.2,33.9,41.1,9.8,35.2,24.5,27.4,90.8,29.4,25.2,21.3,28.7,13.8,15.0,24.7,28.6
Apple,2020-04,16.0,31.3,39.1,8.0,33.2,26.7,25.1,91.4,25.8,21.1,19.3,28.8,13.2,14.0,25.8,27.2
Apple,2020-05,14.5,32.4,38.9,8.0,34.1,27.8,25.3,91.3,26.2,22.7,18.1,29.3,13.6,14.3,26.5,27.8
Apple,2020-06,12.3,30.2,38.8,9.0,31.5,23.5,24.6,90.2,26.0,21.8,18.1,28.2,13.1,13.7,25.7,26.3
Apple,2020-07,16.3,31.2,40.4,9.6,31.9,26.6,26.2,90.3,28.6,23.5,21.4,28.9,14.1,15.4,25.2,27.6
Apple,2020-08,14.0,30.8,39.9,7.6,30.3,24.6,26.0,91.4,27.2,24.3,20.1,27.9,13.4,13.7,27.4,26.5
Apple,2020-09,17.4,32.4,42.4,9.0,31.8,27.5,25.6,91.7,30.6,26.9,20.9,29.3,12.8,14.4,26.9,28.1
Apple,2020-10,22.9,33.2,44.7,9.6,36.1,27.0,27.6,92.5,36.0,34.0,24.4,31.5,16.5,17.0,26.2,29.7
Apple,2020-11,21.4,33.2,44.3,9.4,35.2,27.3,27.6,92.7,33.4,34.7,24.8,31.3,15.5,17.7,25.0,29.5
Apple,2020-12,18.7,33.6,43.0,9.1,34.9,25.7,27.9,92.2,33.6,32.5,24.1,30.3,15.0,16.6,26.1,29.0
Apple,2021-01,14.9,27.5,39.2,9.2,29.9,24.1,23.6,90.5,33.6,28.7,24.1,29.7,13.9,16.5,25.5,25.6
Apple,2021-02,15.8,27.0,39.2,6.4,30.5,25.8,23.1,91.6,30.0,27.1,21.6,27.0,13.1,13.8,26.6,25.3
BMW,2019-07,5.6,22.7,29.5,0.1,25.0,2.8,10.4,85.9,11.2,11.9,6.3,7.5,1.7,1.9,3.1,15.1
BMW,2019-08,8.3,22.1,30.3,0.1,26.5,3.3,9.8,87.8,11.9,11.2,7.1,7.3,1.5,2.5,3.9,15.3
BMW,2019-09,7.9,24.2,32.1,1.6,27.6,4.0,10.7,88.0,12.0,12.4,7.7,8.1,1.6,2.2,4.3,16.7
BMW,2019-10,6.5,23.3,29.3,-1.2,24.4,4.0,10.1,85.2,10.9,11.0,7.1,7.4,1.5,2.8,3.9,15.0
BMW,2019-11,7.2,20.3,27.0,-1.6,25.3,3.2,10.0,86.8,10.9,11.1,5.7,7.6,2.2,2.3,3.7,14.0
BMW,2019-12,8.3,22.3,30.1,-1.1,26.3,3.4,10.8,88.2,11.7,12.8,6.6,7.5,1.5,1.9,4.8,15.3
BMW,2020-01,7.2,22.0,30.3,-2.4,24.5,2.6,8.9,87.7,10.1,10.5,5.1,8.1,1.6,1.6,3.9,14.3
BMW,2020-02,7.8,24.9,32.0,-2.2,27.1,3.1,11.2,88.5,11.1,11.4,6.2,7.5,1.4,1.9,4.0,16.0
BMW,2020-03,7.4,23.4,31.4,2.2,28.2,2.9,10.4,89.4,11.1,11.5,5.9,8.3,1.3,2.0,4.1,16.4
BMW,2020-04,5.2,22.9,30.2,-0.6,25.6,3.1,9.7,88.3,8.4,8.2,4.4,7.3,2.1,1.6,4.4,15.1
BMW,2020-05,6.8,23.9,29.7,-0.9,25.9,3.7,10.6,88.4,10.7,8.0,5.9,8.0,1.2,2.4,4.3,15.5
BMW,2020-06,6.6,23.5,31.0,-0.3,27.9,2.6,11.1,88.5,9.5,8.6,5.9,7.2,1.6,2.1,4.7,16.0
BMW,2020-07,6.5,22.6,30.1,-1.6,26.3,3.1,9.6,88.1,10.0,9.4,6.1,7.7,1.9,2.1,4.0,15.0
BMW,2020-08,6.5,22.2,29.1,-0.1,26.4,3.1,10.5,89.5,11.5,10.4,7.6,8.2,2.1,2.6,4.2,15.2
BMW,2020-09,7.2,26.8,34.3,-0.3,29.6,2.7,12.3,90.8,11.4,10.6,7.1,8.6,1.9,2.3,4.1,17.6
BMW,2020-10,7.8,24.8,32.0,0.2,27.9,3.8,10.4,90.9,12.3,11.0,6.2,8.3,1.6,2.1,4.2,16.5
BMW,2020-11,8.6,23.5,31.2,0.3,28.9,3.7,10.3,89.2,11.8,12.6,6.5,8.5,1.4,2.2,4.0,16.3
BMW,2020-12,7.8,22.5,31.1,-1.2,28.6,2.5,10.1,89.2,12.1,11.6,6.8,7.3,1.4,1.8,4.3,15.6
BMW,2021-01,7.4,22.1,29.8,-0.2,26.1,3.4,10.1,89.1,12.5,10.1,6.1,7.7,1.7,2.3,4.2,15.2
BMW,2021-02,7.2,22.8,30.2,-2.0,25.4,3.5,9.9,89.9,11.3,11.3,7.2,7.7,1.9,2.7,4.8,15.0
Coca-Cola,2019-07,19.6,35.2,35.3,22.5,33.7,36.1,29.5,91.9,27.0,35.8,21.7,34.2,15.7,28.2,39.1,32.0
Coca-Cola,2019-08,18.2,34.4,36.0,22.7,33.6,36.9,27.1,92.1,24.9,33.0,19.9,32.4,14.1,27.9,38.5,31.8
Coca-Cola,2019-09,14.8,32.5,36.2,22.7,31.5,34.9,24.5,90.6,24.7,33.6,19.2,32.0,14.4,26.2,39.2,30.4
Coca-Cola,2019-10,18.1,32.1,34.5,19.1,32.0,36.0,25.5,91.6,25.7,36.3,20.5,32.5,15.0,28.6,39.7,29.9
Coca-Cola,2019-11,16.0,32.9,34.4,21.9,35.0,35.3,26.0,92.6,23.6,35.1,19.0,31.2,14.9,26.8,40.3,30.9
Coca-Cola,2019-12,20.1,31.9,32.0,19.9,28.5,34.8,26.0,93.8,27.4,40.6,20.3,31.8,14.1,27.6,39.5,28.8
Coca-Cola,2020-01,16.5,32.0,33.8,21.8,30.6,34.1,25.8,92.6,23.6,33.7,18.0,32.2,15.0,26.2,40.2,29.7
Coca-Cola,2020-02,15.1,32.1,33.6,20.9,31.6,34.9,26.3,93.3,24.4,35.3,18.7,32.7,13.9,26.1,42.1,29.9
Coca-Cola,2020-03,14.7,34.2,33.9,20.6,32.7,36.4,26.7,92.5,22.8,30.4,19.4,32.7,15.2,26.3,41.4,30.8
Coca-Cola,2020-04,16.1,34.8,36.4,23.1,33.6,37.5,29.0,93.9,20.8,24.7,19.1,32.1,15.1,23.9,43.6,32.4
Coca-Cola,2020-05,17.6,33.4,34.9,20.5,33.5,34.5,25.9,91.6,22.1,25.0,18.8,30.9,15.3,23.5,44.7,30.5
Coca-Cola,2020-06,14.4,33.1,33.1,20.6,32.6,35.4,27.0,92.5,21.5,25.9,17.9,32.2,14.2,26.1,42.3,30.3
Coca-Cola,2020-07,16.4,34.9,36.9,26.4,34.2,37.3,29.5,92.4,22.2,29.5,19.9,32.5,15.4,27.6,39.6,33.2
Coca-Cola,2020-08,13.5,32.9,34.3,22.0,31.8,34.7,27.2,93.3,20.0,27.2,17.4,32.0,14.1,25.7,40.5,30.5
Coca-Cola,2020-09,15.1,36.2,36.5,22.3,33.1,36.4,28.0,93.2,22.0,29.7,19.3,34.0,14.3,28.4,41.0,32.1
Coca-Cola,2020-10,17.5,34.7,35.9,21.3,34.2,36.1,27.2,93.3,25.3,33.6,20.4,32.9,14.2,26.9,41.1,31.6
Coca-Cola,2020-11,15.9,33.3,35.6,23.9,34.8,34.7,27.6,93.0,24.0,31.4,19.3,31.2,14.5,25.8,40.9,31.7
Coca-Cola,2020-12,17.9,35.1,34.6,23.5,29.8,35.7,26.1,92.0,25.1,31.6,18.9,31.9,12.8,25.9,41.8,30.8
Coca-Cola,2021-01,16.1,34.0,37.0,24.0,32.4,34.1,27.3,92.9,23.8,28.5,17.8,29.1,12.8,23.8,41.8,31.5
Coca-Cola,2021-02,17.4,35.0,33.9,22.8,32.3,35.2,25.4,93.8,26.8,30.3,19.4,31.4,12.2,25.9,42.3,30.8
HM,2019-07,5.4,13.7,7.4,8.8,9.2,10.4,11.0,54.8,9.5,7.0,6.2,12.9,4.4,5.9,13.4,10.1
HM,2019-08,5.6,13.7,7.5,10.3,8.9,10.2,10.8,55.8,10.5,7.8,6.9,12.9,3.9,5.9,15.0,10.2
HM,2019-09,5.4,13.9,5.9,10.2,8.6,10.6,10.5,56.0,9.7,7.2,7.7,13.3,4.3,6.6,13.2,10.0
HM,2019-10,5.0,13.6,7.5,10.2,9.1,9.8,12.4,55.1,10.1,7.5,7.3,12.9,4.5,5.5,14.8,10.4
HM,2019-11,5.6,16.5,8.5,12.4,10.5,11.4,13.3,56.2,9.4,7.2,6.9,14.5,4.7,6.3,14.9,12.1
HM,2019-12,5.7,14.5,7.9,11.1,8.5,10.6,11.9,58.9,10.6,8.6,8.2,13.4,4.5,6.1,14.8,10.7
HM,2020-01,5.7,13.8,8.2,11.5,9.5,11.0,12.4,57.7,9.0,6.8,6.1,12.5,3.9,6.1,14.4,11.1
HM,2020-02,5.6,13.3,7.0,10.0,8.5,8.9,9.6,57.3,9.5,6.3,6.7,12.7,4.1,5.8,14.0,9.6
HM,2020-03,5.1,15.0,5.8,10.1,7.3,9.3,10.5,57.4,8.7,5.7,6.1,12.1,3.2,5.3,15.9,9.7
HM,2020-04,4.1,14.5,8.0,10.4,9.3,9.9,11.2,56.4,6.7,4.8,4.5,12.6,4.4,3.8,15.7,10.5
HM,2020-05,4.4,13.0,7.2,11.2,8.9,9.2,11.2,55.5,7.3,5.6,4.6,12.1,3.7,3.4,16.5,10.1
HM,2020-06,3.4,15.4,8.2,12.0,9.1,11.3,12.0,55.9,7.2,5.2,5.0,11.3,3.7,3.2,15.3,11.3
HM,2020-07,4.6,13.0,7.6,10.9,8.7,10.4,11.1,59.1,7.7,5.6,5.5,11.5,3.8,3.3,17.5,10.3
HM,2020-08,4.1,12.3,7.0,8.8,7.6,9.7,10.3,56.9,7.1,6.3,4.8,10.8,3.7,3.8,15.7,9.3
HM,2020-09,4.2,11.4,4.1,8.5,6.8,9.4,9.4,58.4,7.9,6.2,5.1,11.8,4.3,3.3,18.2,8.3
HM,2020-10,4.3,14.4,7.7,10.1,8.1,10.9,12.6,60.3,9.9,7.6,6.0,13.0,4.1,4.2,18.8,10.6
HM,2020-11,5.8,14.3,7.2,11.4,8.8,10.6,11.7,60.3,10.4,8.0,5.7,13.0,4.0,4.7,17.2,10.7
HM,2020-12,4.9,13.2,7.0,10.9,9.1,10.9,10.3,59.4,9.7,7.1,6.5,13.0,4.5,4.2,17.5,10.2
HM,2021-01,5.8,13.6,9.1,10.1,8.8,10.4,11.2,62.0,9.4,6.2,5.6,12.1,3.8,4.3,17.4,10.5
HM,2021-02,4.5,13.6,6.5,12.0,8.3,10.7,10.8,60.5,9.8,6.5,5.5,12.4,3.4,4.4,17.8,10.3
Nike,2019-07,0.6,19.8,28.5,6.6,12.8,24.0,13.7,90.7,38.7,31.4,28.2,29.5,13.4,14.4,40.9,17.6
Nike,2019-08,7.9,22.8,33.1,8.2,15.2,25.2,15.9,92.4,32.5,32.9,22.6,31.7,13.2,15.2,40.5,20.1
Nike,2019-09,9.4,23.9,35.3,9.8,17.1,25.5,18.9,90.2,28.6,28.6,19.3,27.6,11.4,13.9,39.7,21.7
Nike,2019-10,8.8,24.3,34.6,12.1,17.4,26.0,18.1,90.1,27.4,28.8,20.7,29.7,13.1,14.5,40.1,22.1
Nike,2019-11,10.6,28.7,37.1,13.6,22.2,29.1,23.0,92.4,29.4,30.6,20.9,33.0,14.6,14.9,43.2,25.6
Nike,2019-12,8.1,23.1,31.9,8.7,15.0,24.2,17.4,92.3,28.7,28.8,18.6,28.6,11.4,13.0,41.0,20.0
Nike,2020-01,9.5,24.3,30.3,7.8,16.1,26.5,17.8,91.9,28.0,28.7,19.5,31.4,13.7,12.7,42.0,20.5
Nike,2020-02,10.9,31.5,38.9,13.6,22.3,28.4,23.5,92.4,27.8,29.6,18.6,31.9,13.2,12.8,44.2,26.4
Nike,2020-03,12.5,31.7,38.2,15.0,23.1,30.7,25.1,91.2,26.2,27.0,17.6,33.0,14.7,13.1,44.1,27.3
Nike,2020-04,11.2,30.0,36.0,14.0,21.5,27.9,22.6,90.9,21.3,22.8,14.6,30.8,13.2,11.1,43.0,25.3
Nike,2020-05,11.1,30.6,37.2,11.9,23.7,29.4,22.5,91.7,22.9,22.4,17.4,30.1,13.9,9.9,45.6,25.9
Nike,2020-06,10.4,28.9,36.3,13.2,21.2,27.2,22.4,91.6,25.1,23.3,17.6,31.0,12.6,10.8,44.3,24.9
Nike,2020-07,9.2,27.4,34.3,12.4,18.6,27.4,23.5,91.4,28.0,24.7,19.7,30.9,14.0,12.5,42.3,23.9
Nike,2020-08,6.0,24.9,33.7,11.5,17.9,26.3,19.1,92.0,24.9,25.3,19.5,31.2,14.3,12.4,44.7,22.2
Nike,2020-09,7.3,26.4,33.9,7.7,17.9,27.1,18.4,93.3,28.9,27.0,19.2,29.0,13.0,12.1,44.0,21.9
Nike,2020-10,15.3,34.4,41.9,15.5,24.8,29.1,25.4,91.6,29.7,30.5,22.2,33.5,15.4,15.2,40.3,28.5
Nike,2020-11,13.9,32.5,38.6,14.0,22.9,32.3,25.2,92.9,25.9,27.1,19.5,32.0,13.7,13.4,45.2,27.6
Nike,2020-12,13.1,31.5,39.2,16.9,24.2,29.5,27.1,92.8,26.4,26.5,19.0,33.3,14.4,13.2,44.4,28.1
Nike,2021-01,14.3,31.8,39.3,15.1,24.6,28.8,25.3,91.7,27.2,27.6,19.0,32.2,13.8,14.1,41.9,27.5
Nike,2021-02,13.7,34.1,38.4,15.0,24.0,30.9,26.0,93.9,27.9,28.5,18.5,33.8,13.4,13.9,46.7,28.1
Starbucks,2019-07,3.3,11.5,22.6,-16.7,7.1,17.2,6.0,88.1,28.3,21.4,23.0,25.7,12.0,20.0,37.9,7.9
Starbucks,2019-08,6.7,14.6,24.3,-15.4,9.6,20.2,9.4,88.8,28.1,24.8,23.4,28.0,14.4,21.1,39.5,10.5
Starbucks,2019-09,9.1,17.1,27.8,-11.6,12.6,21.0,12.4,88.0,27.3,25.4,24.1,28.2,13.6,22.8,37.4,13.2
Starbucks,2019-10,8.8,16.1,26.0,-13.1,11.5,20.1,12.3,87.1,26.5,24.5,22.2,27.4,13.4,21.6,38.0,12.1
Starbucks,2019-11,11.8,18.4,25.9,-11.3,13.6,20.4,14.0,88.8,28.4,27.7,23.6,28.9,15.4,22.4,37.3,13.5
Starbucks,2019-12,9.0,16.9,24.1,-13.7,10.8,21.1,11.6,89.8,30.4,29.3,26.0,28.0,14.6,23.0,37.7,11.8
Starbucks,2020-01,9.3,15.7,25.0,-15.5,11.5,20.2,9.3,89.8,26.6,25.1,25.1,28.9,15.1,23.1,37.7,11.0
Starbucks,2020-02,10.5,20.4,26.7,-12.4,14.0,24.6,15.4,90.5,28.6,24.6,24.6,29.8,14.7,22.9,38.8,14.8
Starbucks,2020-03,11.0,20.2,27.6,-13.7,13.3,21.5,11.8,90.3,27.4,23.5,22.4,26.5,13.1,20.0,41.0,13.4
Starbucks,2020-04,8.8,17.8,26.2,-12.4,14.4,20.7,11.8,89.7,24.1,17.0,18.4,24.1,11.6,13.4,45.9,13.1
Starbucks,2020-05,8.7,16.8,24.8,-10.5,12.1,20.9,10.7,89.1,23.2,19.5,19.2,23.8,11.2,11.9,46.7,12.4
Starbucks,2020-06,4.2,11.4,22.2,-13.7,6.3,18.2,6.6,88.5,28.3,22.7,21.1,23.6,11.7,15.2,42.9,8.5
Starbucks,2020-07,4.6,12.2,22.0,-12.9,7.8,17.6,8.0,89.5,27.0,22.3,20.9,23.9,11.2,15.7,43.4,9.1
Starbucks,2020-08,3.5,12.2,21.8,-16.7,8.3,17.5,6.4,90.0,25.0,22.2,19.4,25.5,11.7,16.2,44.0,8.3
Starbucks,2020-09,9.2,17.1,26.6,-14.9,11.3,23.0,11.7,90.9,27.5,24.1,22.3,26.8,12.8,17.9,43.5,12.5
Starbucks,2020-10,14.1,19.9,28.8,-12.9,13.0,24.2,16.0,90.4,30.4,26.3,24.6,29.9,15.7,21.1,40.8,14.8
Starbucks,2020-11,9.8,17.5,26.7,-12.8,13.2,20.1,12.5,89.5,26.5,24.1,21.7,26.2,13.7,19.0,42.5,12.9
Starbucks,2020-12,12.3,19.4,28.0,-13.7,12.9,24.1,13.7,91.9,28.3,28.1,24.7,28.3,14.5,20.2,43.4,14.1
Starbucks,2021-01,11.9,19.3,27.8,-13.8,14.2,22.4,14.2,90.6,27.4,25.3,22.4,27.5,14.0,19.5,42.2,14.0
Starbucks,2021-02,11.7,20.1,27.0,-13.2,14.1,21.2,13.7,89.8,27.3,23.5,21.4,27.4,14.0,19.9,41.5,13.8
